"fat_thickness [mm]","Freq [MHz]","VSWR(1) []"
5,798.50375,5.95242327208858
5,800,6.01242521901345
7.5,201.5,15.6069809855589
7.5,202.99625,15.6930341473947
7.5,204.4925,15.7607414075575
7.5,205.98875,15.8112805414795
7.5,207.485,15.845900232963
7.5,208.98125,15.8658760105994
7.5,210.4775,15.8724753864527
7.5,211.97375,15.8669314114799
7.5,213.47,15.8504235881445
7.5,214.96625,15.8240649752672
7.5,216.4625,15.7888943321595
7.5,217.95875,15.7458722350042
7.5,219.455,15.6958802244701
7.5,220.95125,15.6397221853132
7.5,222.4475,15.5781273000114
7.5,223.94375,15.5117540494992
7.5,225.44,15.4411948497046
7.5,226.93625,15.3669810109362
7.5,228.4325,15.289587788398
7.5,229.92875,15.209439357534
7.5,231.425,15.126913599459
7.5,232.92125,15.0423466215194
7.5,234.4175,14.9560369681051
7.5,235.91375,14.868249499081
7.5,237.41,14.7792189292637
7.5,238.90625,14.6891530336192
7.5,240.4025,14.5982355304279
7.5,241.89875,14.5066286594962
7.5,243.395,14.4144754752904
7.5,244.89125,14.3219018762279
7.5,246.3875,14.2290183917024
7.5,247.88375,14.1359217481039
7.5,249.38,14.0426962343551
7.5,250.87625,13.9494148865463
7.5,252.3725,13.8561405102204
7.5,253.86875,13.7629265578763
7.5,255.365,13.6698178783754
7.5,256.86125,13.5768513542123
7.5,258.3575,13.4840564420823
7.5,259.85375,13.3914556318436
7.5,261.35,13.299064838846
7.5,262.84625,13.2068937446346
7.5,264.3425,13.1149461012212
7.5,265.83875,13.0232200143537
7.5,267.335,12.9317082214549
7.5,268.83125,12.8403983800067
7.5,270.3275,12.749273382024
7.5,271.82375,12.658311709734
7.5,273.32,12.5674878465117
7.5,274.81625,12.4767727553683
7.5,276.3125,12.3861344347212
7.5,277.80875,12.295538557718
7.5,279.305,12.204949197001
7.5,280.80125,12.1143296315767
7.5,282.2975,12.0236432265408
7.5,283.79375,11.9328543701098
7.5,285.29,11.8419294461136
7.5,286.78625,11.7508378143047
7.5,288.2825,11.6595527660908
7.5,289.77875,11.5680524201432
7.5,291.275,11.4763205212636
7.5,292.77125,11.384347107242
7.5,294.2675,11.292129012365
7.5,295.76375,11.1996701826151
7.5,297.26,11.1069817860871
7.5,298.75625,11.0140821121174
7.5,300.2525,10.9209962633007
7.5,301.74875,10.8277556550664
7.5,303.245,10.7343973469454
7.5,304.74125,10.6409632373113
7.5,306.2375,10.5474991586929
7.5,307.73375,10.454053913415
7.5,309.23,10.3606782893234
7.5,310.72625,10.2674240929107
7.5,312.2225,10.1743432327186
7.5,313.71875,10.0814868800116
7.5,315.215,9.98890472700992
7.5,316.71125,9.8966443560306
7.5,318.2075,9.80475072623347
7.5,319.70375,9.71326577870525
7.5,321.2,9.6222281556104
7.5,322.69625,9.53167302523537
7.5,324.1925,9.44163200198066
7.5,325.68875,9.35213314864891
7.5,327.185,9.26320104761251
7.5,328.68125,9.17485692745704
7.5,330.1775,9.08711883231075
7.5,331.67375,9.00000182211264
7.5,333.17,8.91351819338437
7.5,334.66625,8.8276777115231
7.5,336.1625,8.742487847115
7.5,337.65875,8.65795401020415
7.5,339.155,8.5740797777826
7.5,340.65125,8.49086711096089
7.5,342.1475,8.40831655931605
7.5,343.64375,8.32642745079243
