"fat_thickness [mm]","Freq [MHz]","re(Z(1,1)) []","im(Z(1,1)) []"
7.5,232.92125,235.269046365493,-346.237527544596
7.5,234.4175,235.636391797881,-344.924025937851
7.5,235.91375,235.944875034536,-343.551788737332
7.5,237.41,236.195783027338,-342.125842627242
7.5,238.90625,236.390497298073,-340.650826155013
7.5,240.4025,236.530464141406,-339.131013857483
7.5,241.89875,236.617169475708,-337.570339571646
7.5,243.395,236.652117793307,-335.972418667892
7.5,244.89125,236.636814720262,-334.340569024401
7.5,246.3875,236.57275275352,-332.677830626788
7.5,247.88375,236.461399798865,-330.986983730015
7.5,249.38,236.304190185475,-329.270565562588
7.5,250.87625,236.102517881446,-327.530885588307
7.5,252.3725,235.857731678896,-325.770039370278
7.5,253.86875,235.571132156864,-323.989921107104
7.5,255.365,235.243970264851,-322.192234933542
7.5,256.86125,234.877447399211,-320.378505098487
7.5,258.3575,234.472716868262,-318.550085152606
7.5,259.85375,234.030886659612,-316.708166296971
7.5,261.35,233.553023434204,-314.853785062528
7.5,262.84625,233.040157675476,-312.987830508217
7.5,264.3425,232.49328991838,-311.111051142326
7.5,265.83875,231.913397971235,-309.224061786242
7.5,267.335,231.301445023522,-307.327350610859
7.5,268.83125,230.658388504691,-305.421286581668
7.5,270.3275,229.985189523592,-303.506127546875
7.5,271.82375,229.282822676518,-301.582029191635
7.5,273.32,228.552285966057,-299.649055058119
7.5,274.81625,227.79461052599,-297.70718779382
7.5,276.3125,227.010869803221,-295.756341737634
7.5,277.80875,226.202187810786,-293.796376884304
7.5,279.305,225.369746041771,-291.827114183733
7.5,280.80125,224.514788627868,-289.848352034711
7.5,282.2975,223.638625343563,-287.85988372742
7.5,283.79375,222.742632101548,-285.861515481771
7.5,285.29,221.828248659357,-283.853084627411
7.5,286.78625,220.896973361039,-281.834477385199
7.5,288.2825,219.950354867824,-279.805645648702
7.5,289.77875,218.989980981436,-277.76662213654
7.5,291.275,218.017464823499,-275.717533298968
7.5,292.77125,217.034428792098,-273.658609418606
7.5,294.2675,216.042486858775,-271.590191445217
7.5,295.76375,215.043225882777,-269.512734243012
7.5,297.26,214.038186693073,-267.426806096835
7.5,298.75625,213.028845714466,-265.333084507967
7.5,300.2525,212.016597888846,-263.232348496191
7.5,301.74875,211.00274156776,-261.125467796881
7.5,303.245,209.988465934886,-259.013389486071
7.5,304.74125,208.974841367238,-256.89712267198
7.5,306.2375,207.962812975489,-254.777721951502
7.5,307.73375,206.953197391102,-252.656270342765
7.5,309.23,205.946682704703,-250.533862372872
7.5,310.72625,204.943831317848,-248.411587929732
7.5,312.2225,203.945085357338,-246.290517388117
7.5,313.71875,202.950774222296,-244.17168840319
7.5,315.215,201.961123790187,-242.056094640811
7.5,316.71125,200.97626679687,-239.9446765925
7.5,318.2075,199.996253922982,-237.838314511984
7.5,319.70375,199.02106515845,-235.737823415376
7.5,321.2,198.050621072158,-233.643950011482
7.5,322.69625,197.084793678097,-231.557371373539
7.5,324.1925,196.123416657019,-229.478695128278
7.5,325.68875,195.166294758828,-227.408460920465
7.5,327.185,194.213212272196,-225.347142908313
7.5,328.68125,193.26394050166,-223.295153054174
7.5,330.1775,192.318244237687,-221.25284499245
7.5,331.67375,191.375887241193,-219.220518279914
7.5,333.17,190.436636791324,-217.198422859849
7.5,334.66625,189.50026736451,-215.186763598703
7.5,336.1625,188.566563525032,-213.185704780595
7.5,337.65875,187.635322113698,-211.19537446995
7.5,339.155,186.70635382297,-209.21586867502
7.5,340.65125,185.779484245008,-207.247255264736
7.5,342.1475,184.854554474719,-205.289577607991
7.5,343.64375,183.931421343766,-203.342857918286
7.5,345.14,183.009957354386,-201.407100297743
7.5,346.63625,182.090050374228,-199.482293483111
7.5,348.1325,181.17160314579,-197.568413302908
7.5,349.62875,180.254532656601,-195.665424859489
7.5,351.125,179.338769409347,-193.773284453024
7.5,352.62125,178.424256624724,-191.891941266254
7.5,354.1175,177.510949404075,-190.021338829882
7.5,355.61375,176.598813873768,-188.16141628866
7.5,357.11,175.687826328856,-186.312109487847
7.5,358.60625,174.777972389723,-184.473351899005
7.5,360.1025,173.869246182213,-182.645075402997
7.5,361.59875,172.961649549009,-180.827210946907
7.5,363.095,172.055191297772,-179.019689090247
7.5,364.59125,171.149886489722,-177.22244045449
7.5,366.0875,170.245755770847,-175.435396088652
7.5,367.58375,169.342824746724,-173.658487762322
7.5,369.08,168.441123401013,-171.891648196357
