"fat_thickness [mm]","Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
10,0.6,0,72,-33.6645637904768
10,0.6,0,74,-33.5402922925853
10,0.6,0,76,-33.4295445289158
10,0.6,0,78,-33.3321213438609
10,0.6,0,80,-33.2478630689616
10,0.6,0,82,-33.1766485038861
10,0.6,0,84,-33.1183932668115
10,0.6,0,86,-33.0730474385412
10,0.6,0,88,-33.0405924799145
10,0.6,0,90,-33.0210374595411
10,0.6,0,92,-33.0144146866577
10,0.6,0,94,-33.0207748997067
10,0.6,0,96,-33.0401822127407
10,0.6,0,98,-33.0727090665261
10,0.6,0,100,-33.1184314668446
10,0.6,0,102,-33.1774248166155
10,0.6,0,104,-33.249760658907
10,0.6,0,106,-33.335504642781
10,0.6,0,108,-33.4347160018552
10,0.6,0,110,-33.5474487958784
10,0.6,0,112,-33.6737551090092
10,0.6,0,114,-33.8136903268743
10,0.6,0,116,-33.9673205315979
10,0.6,0,118,-34.1347319655601
10,0.6,0,120,-34.3160424282479
10,0.6,0,122,-34.5114143953767
10,0.6,0,124,-34.7210695955638
10,0.6,0,126,-34.9453047573323
10,0.6,0,128,-35.1845082572714
10,0.6,0,130,-35.4391774660622
10,0.6,0,132,-35.709936707774
10,0.6,0,134,-35.9975559220942
10,0.6,0,136,-36.3029703504741
10,0.6,0,138,-36.6273018577219
10,0.6,0,140,-36.9718828559971
10,0.6,0,142,-37.3382842315819
10,0.6,0,144,-37.7283492120205
10,0.6,0,146,-38.1442357978929
10,0.6,0,148,-38.5884712956891
10,0.6,0,150,-39.0640237487477
10,0.6,0,152,-39.5743968682946
10,0.6,0,154,-40.1237577313294
10,0.6,0,156,-40.7171105486297
10,0.6,0,158,-41.3605360611683
10,0.6,0,160,-42.0615260212901
10,0.6,0,162,-42.8294581880163
10,0.6,0,164,-43.6762834901524
10,0.6,0,166,-44.6175405429358
10,0.6,0,168,-45.6738845607259
10,0.6,0,170,-46.8734300365285
10,0.6,0,172,-48.2553434270014
10,0.6,0,174,-49.8750581307248
10,0.6,0,176,-51.8097100826684
10,0.6,0,178,-54.1494409570424
10,0.6,0,180,-56.8777561883776
12.5,0.6,0,0,-57.6857728907195
12.5,0.6,0,2,-55.9775216204837
12.5,0.6,0,4,-53.5589780420167
12.5,0.6,0,6,-51.3263176571424
12.5,0.6,0,8,-49.4208096381318
12.5,0.6,0,10,-47.8004629711347
12.5,0.6,0,12,-46.4058083288075
12.5,0.6,0,14,-45.1884676052166
12.5,0.6,0,16,-44.1123946632074
12.5,0.6,0,18,-43.1510063505325
12.5,0.6,0,20,-42.2844848561419
12.5,0.6,0,22,-41.4978036025716
12.5,0.6,0,24,-40.7793596796776
12.5,0.6,0,26,-40.1200330834607
12.5,0.6,0,28,-39.5125340416594
12.5,0.6,0,30,-38.9509440688505
12.5,0.6,0,32,-38.4303885747749
12.5,0.6,0,34,-37.9468001011469
12.5,0.6,0,36,-37.4967449472459
12.5,0.6,0,38,-37.0772947529662
12.5,0.6,0,40,-36.6859303381625
12.5,0.6,0,42,-36.3204688877028
12.5,0.6,0,44,-35.9790081317059
12.5,0.6,0,46,-35.6598829403979
12.5,0.6,0,48,-35.361631007024
12.5,0.6,0,50,-35.0829652014235
12.5,0.6,0,52,-34.8227508484232
12.5,0.6,0,54,-34.5799866867304
12.5,0.6,0,56,-34.3537886388224
12.5,0.6,0,58,-34.1433757992243
12.5,0.6,0,60,-33.9480582478815
12.5,0.6,0,62,-33.7672264326924
12.5,0.6,0,64,-33.6003419536771
12.5,0.6,0,66,-33.4469296321262
12.5,0.6,0,68,-33.3065707715798
12.5,0.6,0,70,-33.1788975225676
12.5,0.6,0,72,-33.0635882572578
12.5,0.6,0,74,-32.9603638495415
12.5,0.6,0,76,-32.8689847451138
12.5,0.6,0,78,-32.7892486977893
12.5,0.6,0,80,-32.7209890443265
12.5,0.6,0,82,-32.6640733911332
12.5,0.6,0,84,-32.61840259236
12.5,0.6,0,86,-32.5839099096051
12.5,0.6,0,88,-32.5605602580894
12.5,0.6,0,90,-32.548349462003
12.5,0.6,0,92,-32.5473034621001
12.5,0.6,0,94,-32.5574774409109
12.5,0.6,0,96,-32.5789548545584
12.5,0.6,0,98,-32.6118463844895
12.5,0.6,0,100,-32.6562888467728
12.5,0.6,0,102,-32.7124441201525
12.5,0.6,0,104,-32.780498175855
12.5,0.6,0,106,-32.8606603112028
12.5,0.6,0,108,-32.9531627043749
12.5,0.6,0,110,-33.058260418244
12.5,0.6,0,112,-33.1762319864671
12.5,0.6,0,114,-33.3073807146546
12.5,0.6,0,116,-33.4520368238415
12.5,0.6,0,118,-33.6105605537125
12.5,0.6,0,120,-33.7833463310157
12.5,0.6,0,122,-33.9708280972079
12.5,0.6,0,124,-34.1734858824056
12.5,0.6,0,126,-34.3918537149016
12.5,0.6,0,128,-34.6265289724105
12.5,0.6,0,130,-34.8781833191867
12.5,0.6,0,132,-35.1475754393673
12.5,0.6,0,134,-35.4355658794131
12.5,0.6,0,136,-35.7431344608471
12.5,0.6,0,138,-36.0714009303861
12.5,0.6,0,140,-36.4216497937026
12.5,0.6,0,142,-36.7953606536669
12.5,0.6,0,144,-37.1942458771247
12.5,0.6,0,146,-37.6202980969107
12.5,0.6,0,148,-38.0758509974736
12.5,0.6,0,150,-38.5636581593612
12.5,0.6,0,152,-39.0869966521991
12.5,0.6,0,154,-39.6498048962415
12.5,0.6,0,156,-40.2568686004404
12.5,0.6,0,158,-40.9140752372873
12.5,0.6,0,160,-41.6287680775369
12.5,0.6,0,162,-42.4102479589082
12.5,0.6,0,164,-43.2704993837168
12.5,0.6,0,166,-44.2252653569252
12.5,0.6,0,168,-45.2956759305332
12.5,0.6,0,170,-46.510765972012
12.5,0.6,0,172,-47.9113929432706
12.5,0.6,0,174,-49.5560750063058
12.5,0.6,0,176,-51.5275494869058
12.5,0.6,0,178,-53.9249562572729
12.5,0.6,0,180,-56.7321326849542
15,0.6,0,0,-57.3806951162864
15,0.6,0,2,-58.0662709959162
15,0.6,0,4,-55.9533027440406
15,0.6,0,6,-53.2137025262598
15,0.6,0,8,-50.8297700227237
15,0.6,0,10,-48.8586601671453
15,0.6,0,12,-47.2128163658581
15,0.6,0,14,-45.8125886656201
15,0.6,0,16,-44.6001267315187
15,0.6,0,18,-43.5344812581889
15,0.6,0,20,-42.5862653738321
15,0.6,0,22,-41.7339047358288
15,0.6,0,24,-40.9611833168054
15,0.6,0,26,-40.2556429957563
15,0.6,0,28,-39.6075241752586
15,0.6,0,30,-39.009050419191
15,0.6,0,32,-38.4539355342604
15,0.6,0,34,-37.937037433363
15,0.6,0,36,-37.4541107932123
15,0.6,0,38,-37.0016273663032
15,0.6,0,40,-36.5766432519771
15,0.6,0,42,-36.1766990540966
15,0.6,0,44,-35.7997431622605
15,0.6,0,46,-35.4440712803479
15,0.6,0,48,-35.1082773221041
15,0.6,0,50,-34.7912122182197
15,0.6,0,52,-34.4919482257301
15,0.6,0,54,-34.2097471146513
15,0.6,0,56,-33.9440311985084
15,0.6,0,58,-33.6943566175939
15,0.6,0,60,-33.4603886040861
15,0.6,0,62,-33.2418786765559
15,0.6,0,64,-33.0386438445338
15,0.6,0,66,-32.8505479672023
15,0.6,0,68,-32.6774854190675
15,0.6,0,70,-32.5193671843264
15,0.6,0,72,-32.3761094443413
15,0.6,0,74,-32.2476246513797
15,0.6,0,76,-32.1338150068276
15,0.6,0,78,-32.0345681914905
15,0.6,0,80,-31.9497551351778
15,0.6,0,82,-31.8792295663504
15,0.6,0,84,-31.8228290522275
15,0.6,0,86,-31.7803772260625
15,0.6,0,88,-31.7516869008076
15,0.6,0,90,-31.7365637857593
15,0.6,0,92,-31.7348105530128
15,0.6,0,94,-31.7462310411191
15,0.6,0,96,-31.770634431327
15,0.6,0,98,-31.8078392840116
15,0.6,0,100,-31.8576773759966
15,0.6,0,102,-31.9199973301591
15,0.6,0,104,-31.9946680738449
15,0.6,0,106,-32.0815821995279
15,0.6,0,108,-32.1806593277697
15,0.6,0,110,-32.2918495876828
15,0.6,0,112,-32.415137333584
15,0.6,0,114,-32.5505452093311
15,0.6,0,116,-32.6981386560807
15,0.6,0,118,-32.8580309381739
15,0.6,0,120,-33.0303887397805
15,0.6,0,122,-33.2154383667875
15,0.6,0,124,-33.413472579615
15,0.6,0,126,-33.6248580886672
15,0.6,0,128,-33.850043770212
15,0.6,0,130,-34.089569711363
15,0.6,0,132,-34.3440772726445
15,0.6,0,134,-34.6143204690379
15,0.6,0,136,-34.9011791191947
15,0.6,0,138,-35.2056744024335
15,0.6,0,140,-35.5289877015912
15,0.6,0,142,-35.8724839090841
15,0.6,0,144,-36.2377407543723
15,0.6,0,146,-36.6265862076296
15,0.6,0,148,-37.0411466822676
15,0.6,0,150,-37.4839096868518
15,0.6,0,152,-37.9578059065903
15,0.6,0,154,-38.4663176533151
15,0.6,0,156,-39.0136235798643
15,0.6,0,158,-39.6047941200922
15,0.6,0,160,-40.246059319161
15,0.6,0,162,-40.9451823394235
15,0.6,0,164,-41.7119911111342
15,0.6,0,166,-42.5591530225198
15,0.6,0,168,-43.5033335758449
15,0.6,0,170,-44.5669782437924
15,0.6,0,172,-45.7811280073896
15,0.6,0,174,-47.1899533931569
15,0.6,0,176,-48.8579534980669
15,0.6,0,178,-50.8796611326638
15,0.6,0,180,-53.3784527339667
5,0.6,44,0,-60.4350395970726
5,0.6,44,2,-62.0301202380791
5,0.6,44,4,-59.917056964397
5,0.6,44,6,-56.8057715348527
5,0.6,44,8,-54.1633709683108
5,0.6,44,10,-52.0276867721418
5,0.6,44,12,-50.2681543250658
5,0.6,44,14,-48.781736836813
5,0.6,44,16,-47.4987161100446
5,0.6,44,18,-46.3720073044385
5,0.6,44,20,-45.3690182264491
5,0.6,44,22,-44.4665442964173
5,0.6,44,24,-43.6476210913494
5,0.6,44,26,-42.8995446725032
5,0.6,44,28,-42.2125904986898
5,0.6,44,30,-41.5791604504681
5,0.6,44,32,-40.9932002155533
5,0.6,44,34,-40.4497927625401
5,0.6,44,36,-39.9448699444964
5,0.6,44,38,-39.4750055296541
5,0.6,44,40,-39.0372657055368
5,0.6,44,42,-38.6291009374982
5,0.6,44,44,-38.2482679946475
5,0.6,44,46,-37.8927741398506
5,0.6,44,48,-37.5608375940795
5,0.6,44,50,-37.2508598356005
5,0.6,44,52,-36.9614063289678
5,0.6,44,54,-36.6911930491241
5,0.6,44,56,-36.4390767643349
5,0.6,44,58,-36.2040475232105
5,0.6,44,60,-35.9852221875029
5,0.6,44,62,-35.7818381816206
5,0.6,44,64,-35.5932469020446
5,0.6,44,66,-35.418906451595
5,0.6,44,68,-35.2583735400309
5,0.6,44,70,-35.1112945289339
5,0.6,44,72,-34.9773957006037
5,0.6,44,74,-34.856472903238
5,0.6,44,76,-34.7483807731756
5,0.6,44,78,-34.653021764166
5,0.6,44,80,-34.5703352275867
5,0.6,44,82,-34.5002867897997
5,0.6,44,84,-34.4428582664915
5,0.6,44,86,-34.3980383415962
5,0.6,44,88,-34.3658142226295
5,0.6,44,90,-34.3461644669499
5,0.6,44,92,-34.339053156031
5,0.6,44,94,-34.3444255780111
5,0.6,44,96,-34.362205562457
5,0.6,44,98,-34.3922945944083
5,0.6,44,100,-34.4345728154595
5,0.6,44,102,-34.4889019953373
5,0.6,44,104,-34.5551305252037
5,0.6,44,106,-34.6331004409591
5,0.6,44,108,-34.7226564289997
5,0.6,44,110,-34.8236566974233
5,0.6,44,112,-34.9359855138336
5,0.6,44,114,-35.0595671205462
5,0.6,44,116,-35.1943806460406
5,0.6,44,118,-35.3404755478182
5,0.6,44,120,-35.4979870587443
5,0.6,44,122,-35.6671510801105
5,0.6,44,124,-35.8483179832646
5,0.6,44,126,-36.04196485849
5,0.6,44,128,-36.2487058912142
5,0.6,44,130,-36.469300752161
5,0.6,44,132,-36.7046611541918
5,0.6,44,134,-36.9558560439187
5,0.6,44,136,-37.2241162480553
5,0.6,44,138,-37.5108397720254
5,0.6,44,140,-37.8175993472597
5,0.6,44,142,-38.1461542514323
5,0.6,44,144,-38.4984689077085
5,0.6,44,146,-38.8767413542431
5,0.6,44,148,-39.2834454467237
5,0.6,44,150,-39.7213917469723
5,0.6,44,152,-40.1938136686457
5,0.6,44,154,-40.7044879335698
5,0.6,44,156,-41.2579022976027
5,0.6,44,158,-41.8594897921757
5,0.6,44,160,-42.5159591058739
5,0.6,44,162,-43.2357683671207
5,0.6,44,164,-44.0298206126927
5,0.6,44,166,-44.9125160843144
5,0.6,44,168,-45.9034059231962
5,0.6,44,170,-47.0299151626013
5,0.6,44,172,-48.3320923153901
5,0.6,44,174,-49.8715134301298
5,0.6,44,176,-51.7495931885421
5,0.6,44,178,-54.1501471550451
5,0.6,44,180,-57.4560351570435
7.5,0.6,44,0,-54.9500624270445
7.5,0.6,44,2,-53.1509429667009
7.5,0.6,44,4,-51.3617716638794
7.5,0.6,44,6,-49.7454866192594
7.5,0.6,44,8,-48.3188529837326
7.5,0.6,44,10,-47.0600971044659
7.5,0.6,44,12,-45.9422209206588
7.5,0.6,44,14,-44.9414416523478
7.5,0.6,44,16,-44.0385198809193
7.5,0.6,44,18,-43.2182694163324
7.5,0.6,44,20,-42.4687493056865
7.5,0.6,44,22,-41.7805308946557
7.5,0.6,44,24,-41.146114147743
7.5,0.6,44,26,-40.5594816380566
7.5,0.6,44,28,-40.0157613513519
7.5,0.6,44,30,-39.5109711480076
7.5,0.6,44,32,-39.0418234707366
7.5,0.6,44,34,-38.6055744399201
7.5,0.6,44,36,-38.1999058920177
7.5,0.6,44,38,-37.8228321919298
7.5,0.6,44,40,-37.4726260121248
7.5,0.6,44,42,-37.1477589509075
7.5,0.6,44,44,-36.8468540452708
7.5,0.6,44,46,-36.5686480584517
7.5,0.6,44,48,-36.3119619885314
7.5,0.6,44,50,-36.0756786241462
7.5,0.6,44,52,-35.8587262188583
7.5,0.6,44,54,-35.6600675054204
7.5,0.6,44,56,-35.4786933538779
7.5,0.6,44,58,-35.3136204152765
7.5,0.6,44,60,-35.1638921030184
7.5,0.6,44,62,-35.0285822605619
7.5,0.6,44,64,-34.9068008585298
7.5,0.6,44,66,-34.7977010655736
7.5,0.6,44,68,-34.7004870526924
7.5,0.6,44,70,-34.6144219251601
7.5,0.6,44,72,-34.538835232489
7.5,0.6,44,74,-34.4731295851724
7.5,0.6,44,76,-34.4167860050017
