"fat_thickness [mm]","Freq [MHz]","dB(S(1,1)) []"
5,494.765,-7.27942971289269
5,496.26125,-7.38230519886529
5,497.7575,-7.48710770480407
5,499.25375,-7.5938828902515
5,500.75,-7.70267768923145
5,502.24625,-7.81354033536904
5,503.7425,-7.92652038446052
5,505.23875,-8.04166873379573
5,506.735,-8.15903763740629
5,508.23125,-8.27868071626258
5,509.7275,-8.40065296226595
5,511.22375,-8.52501073467396
5,512.72,-8.6518117473541
5,514.21625,-8.78111504497413
5,515.7125,-8.91298096590171
5,517.20875,-9.04747108919069
5,518.705,-9.18464816256824
5,520.20125,-9.32457600779182
5,521.6975,-9.46731939910535
5,523.19375,-9.61294390977233
5,524.69,-9.76151572078176
5,526.18625,-9.9131013847869
5,527.6825,-10.067767537123
5,529.17875,-10.2255805443276
5,530.675,-10.3866060789211
5,532.17125,-10.5509086072625
5,533.6675,-10.7185507750228
5,535.16375,-10.8895926721857
5,536.66,-11.0640909564233
5,538.15625,-11.2420978101695
5,539.6525,-11.4236597026616
5,541.14875,-11.6088159236027
5,542.645,-11.7975968498812
5,544.14125,-11.9900219009563
5,545.6375,-12.1860971321057
5,547.13375,-12.3858124078293
5,548.63,-12.5891380904772
5,550.12625,-12.7960211719382
5,551.6225,-13.0063807694869
5,553.11875,-13.2201029014047
5,554.615,-13.4370344549009
5,556.11125,-13.6569762597755
5,557.6075,-13.8796751884531
5,559.10375,-14.1048152195164
5,560.6,-14.3320074317052
5,562.09625,-14.5607789436184
5,563.5925,-14.7905608872669
5,565.08875,-15.0206756082801
5,566.585,-15.2503234294403
5,568.08125,-15.4785695039139
5,569.5775,-15.7043315238818
5,571.07375,-15.9263693370247
5,572.57,-16.1432778449416
5,574.06625,-16.3534848856762
5,575.5625,-16.5552560873742
5,577.05875,-16.746708846749
5,578.555,-16.9258375355864
5,580.05125,-17.0905516584021
5,581.5475,-17.2387278720102
5,583.04375,-17.3682754786617
5,584.54,-17.4772132596196
5,586.03625,-17.5637535045534
5,587.5325,-17.6263871448378
5,589.02875,-17.6639624597304
5,590.525,-17.6757493480085
5,592.02125,-17.6614819609349
5,593.5175,-17.6213746127475
5,595.01375,-17.5561090118723
5,596.51,-17.4667943857201
5,598.00625,-17.3549052773008
5,599.5025,-17.2222040452486
5,600.99875,-17.0706560522636
5,602.495,-16.9023451806793
5,603.99125,-16.7193959601095
5,605.4875,-16.5239066779386
5,606.98375,-16.3178958201233
5,608.48,-16.103262403846
5,609.97625,-15.8817594108849
5,611.4725,-15.6549786656871
5,612.96875,-15.4243450787077
5,614.465,-15.1911180942496
5,615.96125,-14.9563983299069
5,617.4575,-14.7211376706349
5,618.95375,-14.4861514066714
5,620.45,-14.2521313286069
5,621.94625,-14.0196589843805
5,623.4425,-13.7892185478082
5,624.93875,-13.5612089433435
5,626.435,-13.3359550204071
5,627.93125,-13.1137176792669
5,629.4275,-12.8947029265043
5,630.92375,-12.6790698887811
5,632.42,-12.4669378452284
5,633.91625,-12.2583923565397
5,635.4125,-12.0534905769012
5,636.90875,-11.8522658363809
5,638.405,-11.6547315786616
5,639.90125,-11.4608847337242
5,641.3975,-11.2707085984437
5,642.89375,-11.0841752908568
5,644.39,-10.9012478366164
5,645.88625,-10.7218819391988
5,647.3825,-10.5460274789589
5,648.87875,-10.3736297802349
5,650.375,-10.2046306804194
5,651.87125,-10.0389694302341
5,653.3675,-9.87658345032896
5,654.86375,-9.71740896575004
5,656.36,-9.56138153670699
5,657.85625,-9.40843650139251
5,659.3525,-9.25850934429712
5,660.84875,-9.11153600148214
5,662.345,-8.96745311257862
5,663.84125,-8.82619822782809
5,665.3375,-8.68770997724213
5,666.83375,-8.55192820789937
5,668.33,-8.41879409449331
5,669.82625,-8.28825022747274
5,671.3225,-8.16024068245448
5,672.81875,-8.03471107402355
5,674.315,-7.91160859654789
5,675.81125,-7.79088205421782
